"Time","Type","Ability","Source → Target",""
"00:10.000","Cast","Dripping Fangs 2.00 sec","Vashnik → 喵呜大王",""
"00:24.010","Cast","Imbibe 4.01 sec","Vashnik",""
"00:26.710","Begin Cast","Malignance Canceled","Malignant Totem 1",""
"00:26.710","Begin Cast","Malignance Canceled","Malignant Totem 2",""
"00:26.710","Begin Cast","Malignance Canceled","Malignant Totem 1",""
"00:26.710","Begin Cast","Malignance Canceled","Malignant Totem 2",""
"00:27.130","Begin Cast","Malignance Canceled","Malignant Totem 3",""
"00:27.130","Begin Cast","Malignance Canceled","Malignant Totem 4",""
"00:27.130","Begin Cast","Malignance Canceled","Malignant Totem 5",""
"00:27.130","Begin Cast","Malignance Canceled","Malignant Totem 6",""
"00:27.130","Begin Cast","Malignance Canceled","Malignant Totem 3",""
"00:27.130","Begin Cast","Malignance Canceled","Malignant Totem 4",""
"00:27.130","Begin Cast","Malignance Canceled","Malignant Totem 7",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 5",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 6",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 8",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 9",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 7",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 8",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 10",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 11",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 9",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 12",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 10",""
"00:27.925","Begin Cast","Malignance Canceled","Malignant Totem 11",""
"00:28.325","Begin Cast","Malignance Canceled","Malignant Totem 12",""
"00:30.007","Cast","Malignant Catalyst","Vashnik",""
"00:35.018","Cast","Malignant Catalyst 5.01 sec","Vashnik",""
"00:36.000","Cast","Caustic Surge","Burning Venom 3",""
"00:39.065","Cast","Dripping Fangs 2.02 sec","Vashnik → 世界第一坦",""
"00:44.795","Cast","Caustic Surge","Burning Venom 2",""
"00:50.332","Cast","Caustic Surge","Burning Venom 1",""
"01:06.026","Cast","Dripping Fangs 2.00 sec","Vashnik → 喵呜大王",""
"01:08.994","Cast","Malignant Catalyst","Vashnik",""
"01:14.009","Cast","Malignant Catalyst 5.01 sec","Vashnik",""
"01:34.024","Cast","Dripping Fangs 2.00 sec","Vashnik → 世界第一坦",""
"01:48.019","Cast","Imbibe 4.00 sec","Vashnik",""
"01:50.971","Begin Cast","Malignance Canceled","Malignant Totem 13",""
"01:50.971","Begin Cast","Malignance Canceled","Malignant Totem 13",""
"01:50.971","Begin Cast","Malignance Canceled","Malignant Totem 14",""
"01:50.971","Begin Cast","Malignance Canceled","Malignant Totem 15",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 14",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 15",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 16",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 17",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 18",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 16",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 17",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 18",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 19",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 20",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 19",""
"01:51.376","Begin Cast","Malignance Canceled","Malignant Totem 20",""
"01:51.778","Begin Cast","Malignance Canceled","Malignant Totem 21",""
"01:51.778","Begin Cast","Malignance Canceled","Malignant Totem 21",""
"01:51.778","Begin Cast","Malignance Canceled","Malignant Totem 22",""
"01:51.778","Begin Cast","Malignance Canceled","Malignant Totem 23",""
"01:51.778","Begin Cast","Malignance Canceled","Malignant Totem 22",""
"01:51.778","Begin Cast","Malignance Canceled","Malignant Totem 23",""
"01:51.778","Begin Cast","Malignance Canceled","Malignant Totem 24",""
"01:51.778","Begin Cast","Malignance Canceled","Malignant Totem 24",""
"01:54.052","Cast","Malignant Catalyst","Vashnik",""
"01:59.052","Cast","Malignant Catalyst 5.00 sec","Vashnik",""
"02:03.082","Cast","Dripping Fangs 2.04 sec","Vashnik → 喵呜大王",""
"02:06.271","Cast","Caustic Surge","Burning Venom 4",""
"02:12.452","Cast","Caustic Surge","Burning Venom 5",""
"02:21.641","Cast","Caustic Surge","Burning Venom 6",""
"02:30.058","Cast","Dripping Fangs 2.02 sec","Vashnik → 世界第一坦",""
"02:33.036","Cast","Malignant Catalyst","Vashnik",""
"02:38.029","Cast","Malignant Catalyst 4.99 sec","Vashnik",""
"02:58.028","Cast","Dripping Fangs 1.99 sec","Vashnik → 喵呜大王",""
"03:12.062","Cast","Imbibe 4.01 sec","Vashnik",""
"03:15.228","Begin Cast","Malignance Canceled","Malignant Totem 25",""
"03:15.228","Begin Cast","Malignance Canceled","Malignant Totem 25",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 26",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 27",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 28",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 26",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 29",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 30",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 27",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 28",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 29",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 31",""
"03:15.229","Begin Cast","Malignance Canceled","Malignant Totem 30",""
"03:15.626","Begin Cast","Malignance Canceled","Malignant Totem 31",""
"03:15.626","Begin Cast","Malignance Canceled","Malignant Totem 32",""
"03:15.626","Begin Cast","Malignance Canceled","Malignant Totem 32",""
"03:15.626","Begin Cast","Malignance Canceled","Malignant Totem 33",""
"03:16.066","Begin Cast","Malignance Canceled","Malignant Totem 33",""
"03:16.067","Begin Cast","Malignance Canceled","Malignant Totem 34",""
"03:16.067","Begin Cast","Malignance Canceled","Malignant Totem 35",""
"03:16.067","Begin Cast","Malignance Canceled","Malignant Totem 34",""
"03:16.067","Begin Cast","Malignance Canceled","Malignant Totem 35",""
"03:16.067","Begin Cast","Malignance Canceled","Malignant Totem 36",""
"03:16.419","Begin Cast","Malignance Canceled","Malignant Totem 36",""
"03:18.067","Cast","Malignant Catalyst","Vashnik",""
"03:23.055","Cast","Malignant Catalyst 4.99 sec","Vashnik",""
"03:27.099","Cast","Dripping Fangs 2.02 sec","Vashnik → 世界第一坦",""
"03:33.484","Cast","Caustic Surge","Burning Venom 9",""
"03:43.408","Cast","Caustic Surge","Burning Venom 8",""
"03:54.045","Cast","Dripping Fangs 2.01 sec","Vashnik → 喵呜大王",""
"03:56.225","Cast","Caustic Surge","Burning Venom 7",""
"03:57.045","Cast","Malignant Catalyst","Vashnik",""
"04:02.054","Cast","Malignant Catalyst 5.01 sec","Vashnik",""
"04:22.043","Cast","Dripping Fangs 2.00 sec","Vashnik → 世界第一坦",""
"04:36.046","Cast","Imbibe 4.01 sec","Vashnik",""
"04:39.083","Begin Cast","Malignance Canceled","Malignant Totem 37",""
"04:39.084","Begin Cast","Malignance Canceled","Malignant Totem 37",""
"04:39.084","Begin Cast","Malignance Canceled","Malignant Totem 38",""
"04:39.084","Begin Cast","Malignance Canceled","Malignant Totem 39",""
"04:39.482","Begin Cast","Malignance Canceled","Malignant Totem 40",""
"04:39.482","Begin Cast","Malignance Canceled","Malignant Totem 41",""
"04:39.482","Begin Cast","Malignance Canceled","Malignant Totem 38",""
"04:39.482","Begin Cast","Malignance Canceled","Malignant Totem 39",""
"04:39.482","Begin Cast","Malignance Canceled","Malignant Totem 42",""
"04:39.482","Begin Cast","Malignance Canceled","Malignant Totem 40",""
"04:39.482","Begin Cast","Malignance Canceled","Malignant Totem 43",""
"04:39.882","Begin Cast","Malignance Canceled","Malignant Totem 41",""
"04:39.882","Begin Cast","Malignance Canceled","Malignant Totem 42",""
"04:39.882","Begin Cast","Malignance Canceled","Malignant Totem 44",""
"04:39.882","Begin Cast","Malignance Canceled","Malignant Totem 45",""
