"Time","Type","Ability","Source → Target",""
"00:09.924","Cast","Dripping Fangs 2.00 sec","Vashnik → Dklegacyy",""
"00:23.885","Cast","Imbibe 4.00 sec","Vashnik",""
"00:29.916","Cast","Malignant Catalyst","Vashnik",""
"00:34.930","Cast","Malignant Catalyst 5.01 sec","Vashnik",""
"00:38.950","Cast","Dripping Fangs 2.04 sec","Vashnik → Nezkouh",""
"00:46.902","Cast","Caustic Surge","Burning Venom 1",""
"00:47.089","Cast","Caustic Surge","Burning Venom 2",""
"01:05.926","Cast","Dripping Fangs 2.00 sec","Vashnik → Dklegacyy",""
"01:08.905","Cast","Malignant Catalyst","Vashnik",""
"01:13.928","Cast","Malignant Catalyst 5.02 sec","Vashnik",""
"01:33.935","Cast","Dripping Fangs 2.01 sec","Vashnik → Nezkouh",""
"01:47.890","Cast","Imbibe 3.98 sec","Vashnik",""
"01:53.962","Cast","Malignant Catalyst","Vashnik",""
"01:58.965","Cast","Malignant Catalyst 5.00 sec","Vashnik",""
"02:02.959","Cast","Dripping Fangs 2.01 sec","Vashnik → Nezkouh",""
"02:15.260","Cast","Caustic Surge","Burning Venom 3",""
"02:15.883","Cast","Caustic Surge","Burning Venom 4",""
"02:29.951","Cast","Dripping Fangs 2.01 sec","Vashnik → Nezkouh",""
"02:32.951","Cast","Malignant Catalyst","Vashnik",""
"02:37.955","Cast","Malignant Catalyst 5.00 sec","Vashnik",""
"02:57.950","Cast","Dripping Fangs 2.00 sec","Vashnik → Dklegacyy",""
"03:11.966","Cast","Imbibe 4.01 sec","Vashnik",""
"03:17.986","Cast","Malignant Catalyst","Vashnik",""
"03:22.991","Cast","Malignant Catalyst 5.00 sec","Vashnik",""
"03:26.993","Cast","Dripping Fangs 2.01 sec","Vashnik → Nezkouh",""
"03:35.479","Cast","Caustic Surge","Burning Venom 5",""
"03:38.281","Cast","Caustic Surge","Burning Venom 6",""
"03:53.998","Cast","Dripping Fangs 2.01 sec","Vashnik → Dklegacyy",""
"03:56.962","Cast","Malignant Catalyst","Vashnik",""
"04:01.965","Cast","Malignant Catalyst 5.00 sec","Vashnik",""
"04:21.984","Cast","Dripping Fangs 2.00 sec","Vashnik → Nezkouh",""
"04:35.982","Cast","Imbibe 4.01 sec","Vashnik",""
"04:42.020","Cast","Malignant Catalyst","Vashnik",""
"04:47.005","Cast","Malignant Catalyst 4.99 sec","Vashnik",""
"04:51.032","Cast","Dripping Fangs 1.93 sec","Vashnik → Dklegacyy",""
"05:02.295","Cast","Caustic Surge","Burning Venom 8",""
"05:03.554","Cast","Caustic Surge","Burning Venom 7",""
"05:18.029","Cast","Dripping Fangs 2.01 sec","Vashnik → Nezkouh",""
"05:21.002","Cast","Malignant Catalyst","Vashnik",""
"05:26.003","Cast","Malignant Catalyst 5.00 sec","Vashnik",""
"05:46.010","Cast","Dripping Fangs 2.02 sec","Vashnik → Dklegacyy",""
"05:57.237","Cast","Anti-Magic Zone","Environment → Dklegacyy",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Menokick",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Lindoriya",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Zoodpaz",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Kiritøø",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Sunlight",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Jemp",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Sper",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Nezkouh",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Xinthehood",""
"05:57.246","Cast","Anti-Magic Zone","Environment → Monkvin",""
"05:57.815","Cast","Anti-Magic Zone","Environment → Izaroo",""
"05:58.009","Cast","Anti-Magic Zone","Environment → Neekbat",""
"05:58.969","Cast","Anti-Magic Zone","Environment → Ethuz",""
"05:59.238","Cast","Anti-Magic Zone","Environment → Fyralather",""
"05:59.666","Cast","Anti-Magic Zone","Environment → Ethuz",""
"05:59.691","Cast","Anti-Magic Zone","Environment → Fireserpent",""
"06:00.013","Cast","Imbibe 4.01 sec","Vashnik",""
"06:00.081","Cast","Anti-Magic Zone","Environment → Makarturk",""
"06:03.191","Cast","Anti-Magic Zone","Environment → Zoodpaz",""
"06:03.226","Cast","Anti-Magic Zone","Environment → Fireserpent",""
"06:04.457","Cast","Anti-Magic Zone","Environment → Fyralather",""
"06:06.069","Cast","Malignant Catalyst","Vashnik",""
"06:11.072","Cast","Malignant Catalyst 5.00 sec","Vashnik",""
"06:15.074","Cast","Dripping Fangs 2.02 sec","Vashnik → Nezkouh",""
"06:30.368","Cast","Caustic Surge","Burning Venom 10",""
"06:30.802","Cast","Caustic Surge","Burning Venom 9",""
